日期,測站,測項,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,avg
2017/07/01,沙鹿,PM2.5,15,8,5,5,7,6,9,7,5,5,8,17,14,10,12,13,11,4,4,5,7,9,6,4,8
2017/07/02,沙鹿,PM2.5,1,1,4,6,5,1,1,3,8,11,10,16,23,15,8,12,11,11,4,5,13,14,10,4,8
2017/07/03,沙鹿,PM2.5,1,1,2,1,2,4,1,4,11,11,11,478*,21,16,11,14,17,16,6,2,9,14,15,12,9
2017/07/04,沙鹿,PM2.5,8,7,9,7,8,11,12,11,8,7,5,15,27,21,16,14,13,13,9,15,17,10,10,14,12
2017/07/05,沙鹿,PM2.5,8,4,7,4,2,2,3,9,14,10,6,6,7,6,9,13,14,11,14,16,16,14,13,17,9
2017/07/06,沙鹿,PM2.5,19,21,15,9,9,10,11,9,8,10,19,24,21,16,12,13,21,21,16,22,18,12,13,5,15
2017/07/07,沙鹿,PM2.5,7,7,6,11,10,5,8,12,11,7,4,8,12,19,16,6,9,15,10,6,10,7,6,7,9
2017/07/08,沙鹿,PM2.5,1,1,3,5,5,5,9,13,16,11,10,14,10,15,20,18,16,10,5,8,9,11,15,8,10
2017/07/09,沙鹿,PM2.5,3,2,2,4,6,6,5,3,5,13,12,7,14,14,14,22,19,15,17,14,11,11,8,12,10
2017/07/10,沙鹿,PM2.5,12,9,13,11,6,7,10,6,5,4,5,17,17,11,9,10,13,14,11,9,8,8,7,4,9
2017/07/11,沙鹿,PM2.5,6,8,4,7,6,4,7,8,8,9,18,23,14,5,8,9,4,5,9,13,18,16,14,13,10
2017/07/12,沙鹿,PM2.5,12,9,6,6,8,7,6,11,13,8,,18,13,,3x,5,7,6,6,8,11,8,9,12,9
2017/07/13,沙鹿,PM2.5,15,15,10,12,16,16,17,13,10,11,9,8,3,2,1,3,7,7,14,18,15,14,14,12,11
2017/07/14,沙鹿,PM2.5,17,26,29,27,22,18,11,7,9,14,16,11,8,6,7,8,9,11,10,10,10,10,4,4,13
2017/07/15,沙鹿,PM2.5,7,4,4,6,9,6,4,5,5,8,8,9,5,4,5,6,10,13,14,17,16,8,5,5,8
2017/07/16,沙鹿,PM2.5,3,4,5,5,9,11,8,10,17,19,15,8,7,9,9,9,8,8,14,23,17,9,14,13,11
