發生年,發生月,發生日,發生時,發生分,處理別,區序,肇事地點,死亡人數,受傷人數,當事人序,車種,性別,年齡,受傷程度,4天候,7速限,8道路型態,9事故位置
107,11,30,04,59,2,01大同區,大同區承德路2段與民生西路口,0,3,4,H02,2,18,2,7,50,4,01
107,12,01,14,45,2,01大同區,大同區重慶北路3段與重慶北路3段120巷口,0,1,1,C03,1,18,2,8,50,4,01
107,12,01,14,45,2,01大同區,大同區重慶北路3段與重慶北路3段120巷口,0,1,2,B03,1,28,3,8,50,4,01
107,12,01,21,18,2,01大同區,大同區重慶北路3段340號,0,1,1,C03,2,39,2,8,30,14,09
107,12,01,21,18,2,01大同區,大同區重慶北路3段340號,0,1,2,B02,1,48,3,8,30,14,09
107,12,02,12,06,2,01大同區,大同區南京西路185巷與延平北路2段61巷口,0,1,1,B03,1,64,3,8,30,4,01
107,12,02,12,06,2,01大同區,大同區南京西路185巷與延平北路2段61巷口,0,1,2,C03,2,53,2,8,30,4,01
107,12,08,10,23,2,01大同區,大同區承德路3段與庫倫街口,0,1,1,C03,2,58,2,7,50,4,01
107,12,08,10,23,2,01大同區,大同區承德路3段與庫倫街口,0,1,2,B03,1,46,3,7,50,4,01
107,12,24,18,30,2,01大同區,大同區南京西路與南京西路302巷口,0,2,1,C03,2,25,2,8,50,4,01
107,12,24,18,30,2,01大同區,大同區南京西路與南京西路302巷口,0,2,2,C03,1,31,2,8,50,4,01
107,01,17,21,30,2,01大同區,大同區台北橋往台北方向機車道,0,2,1,C03,1,18,2,8,40,14,11
107,01,17,21,30,2,01大同區,大同區台北橋往台北方向機車道,0,2,2,C03,2,55,2,8,40,14,11
107,01,18,21,22,2,01大同區,大同區安西街與延平北路2段272巷口,0,1,1,C04,2,61,4,8,30,4,01
107,01,18,21,22,2,01大同區,大同區安西街與延平北路2段272巷口,0,1,2,C03,2,20,2,8,30,4,01
107,01,25,17,10,2,01大同區,大同區承德路2段與平陽街口,0,1,1,B03,2,32,3,8,50,3,02
107,01,25,17,10,2,01大同區,大同區承德路2段與平陽街口,0,1,2,C03,1,20,2,8,50,3,02
107,01,25,17,10,2,01大同區,大同區承德路2段與平陽街口,0,1,3,B12,2,41,3,8,50,3,02
107,02,01,00,54,2,01大同區,大同區承德路2段與民生西路口,0,1,1,B01,1,59,3,6,50,4,02
107,02,01,00,54,2,01大同區,大同區承德路2段與民生西路口,0,1,2,H01,1,27,2,6,50,4,02
107,02,22,08,57,2,01大同區,大同區承德路3段132號,0,1,1,C03,2,47,2,8,50,14,09
107,02,22,08,57,2,01大同區,大同區承德路3段132號,0,1,2,B03,1,46,3,8,50,14,09
107,03,02,16,57,2,01大同區,大同區延平北路2段與民權西路口,0,2,1,C03,1,63,2,8,50,14,09
107,03,02,16,57,2,01大同區,大同區延平北路2段與民權西路口,0,2,2,C03,1,33,2,8,50,14,09
107,03,15,09,49,2,01大同區,大同區太原路與南京西路口,0,2,1,F01,1,83,2,8,50,4,01
107,03,15,09,49,2,01大同區,大同區太原路與南京西路口,0,2,2,C03,2,55,2,8,50,4,01
107,03,19,23,55,2,01大同區,大同區承德路3段與敦煌路口,0,2,1,B03,2,38,3,7,50,4,01
107,03,19,23,55,2,01大同區,大同區承德路3段與敦煌路口,0,2,3,H02,2,22,2,7,50,4,01
107,03,19,23,55,2,01大同區,大同區承德路3段與敦煌路口,0,2,2,C03,1,23,2,7,50,4,01
107,03,31,13,51,2,01大同區,大同區承德路2段與萬全街口,0,1,1,B01,1,64,3,8,50,3,01
107,03,31,13,51,2,01大同區,大同區承德路2段與萬全街口,0,1,2,C03,1,73,2,8,50,3,01
107,02,13,11,07,2,01大同區,大同區民族西路與承德路3段口,0,2,1,B12,1,35,3,8,50,4,01
107,02,13,11,07,2,01大同區,大同區民族西路與承德路3段口,0,2,2,C03,1,51,2,8,50,4,01
107,02,13,11,07,2,01大同區,大同區民族西路與承德路3段口,0,2,3,H02,2,77,2,8,50,4,01
107,03,03,18,05,2,01大同區,大同區台北橋機車道第29號路燈桿旁,0,1,1,C03,1,41,3,7,50,14,11
107,03,03,18,05,2,01大同區,大同區台北橋機車道第29號路燈桿旁,0,1,2,C03,1,23,2,7,50,14,11
107,03,09,11,25,2,01大同區,大同區承德路1段與長安西路口,0,1,1,B03,1,41,3,8,50,4,01
107,03,09,11,25,2,01大同區,大同區承德路1段與長安西路口,0,1,2,C03,1,44,2,8,50,4,01
107,03,24,19,10,2,01大同區,大同區延平北路2段與民生西路口,0,1,1,,4,0,4,7,50,4,01
107,03,24,19,10,2,01大同區,大同區延平北路2段與民生西路口,0,1,2,C03,1,24,2,7,50,4,01
107,03,28,17,20,2,01大同區,大同區承德路2段與承德路2段91巷口,0,1,1,B03,1,33,3,8,50,3,01
107,03,28,17,20,2,01大同區,大同區承德路2段與承德路2段91巷口,0,1,2,C03,2,27,2,8,50,3,01
107,04,03,15,30,2,01大同區,大同區延平北路3段與民族西路口,0,1,1,B03,1,35,2,8,50,4,02
107,04,03,15,30,2,01大同區,大同區延平北路3段與民族西路口,0,1,2,B03,2,46,3,8,50,4,02
107,04,29,11,28,2,01大同區,大同區延平北路3段102號,0,1,1,C03,1,39,2,8,50,14,09
107,04,29,11,28,2,01大同區,大同區延平北路3段102號,0,1,2,C03,1,33,3,8,50,14,09
