"sno","sna","tot","sbi","sarea","mday","lat","lng","ar","sareaen","snaen","aren","bemp","act"
"1448","萬板文聖街口","46","8","板橋區","20180719111821","25.026295","121.479675","萬板文聖街口","Banqiao Dist.","Wanban & Wensheng Intersection","Wanban Rd. / Wensheng St., Banqiao Dist.","38","1"
"1449","明德高中","34","19","三峽區","20180719111833","24.907449","121.364848","中正路二段/中正路二段395巷口","Sanxia Dist.","MingDer Senior High School","Sec. 2, Zhongzheng Rd. / Ln. 395, Sec. 2, Zhongzheng Rd., Sanxia Dist.","15","1"
"1450","鳳鳴國小","32","10","鶯歌區","20180719111833","24.969198","121.334806","永和街120號(校門前)","Yingge Dist.","Fengming Elementary School","No.120, Yonghe St., Yingge Dist.","22","1"
"1451","林本源園邸","42","1","板橋區","20180719111826","25.011172","121.455710","西門街9號(前)","Banqiao Dist.","The Lin Family Mansion and Garden","No.9, Ximen St., Banqiao Dist.","41","1"
"1452","藍天大樓","36","26","三重區","20180719111833","25.053098","121.470165","興德路129號(旁)","Sanchong Dist.","Lantian Building","No.129, Xingde Rd., Sanchong Dist.","10","1"
"1453","忠孝國中","46","4","板橋區","20180719111839","25.004810","121.461195","成都街30號(右側)","Banqiao Dist.","Zhongxiao High School","No.30, Chengdu St., Banqiao Dist.","42","1"
"1454","大智公園","30","13","三重區","20180719111817","25.063608","121.494449","大同北路56號(對面)","Sanchong Dist.","Dazhi Park","No.56, Datong N. Rd., Sanchong Dist.","17","1"
"1455","國際二國際一路口","38","3","鶯歌區","20180719111834","24.976171","121.334938","國際二路/國際一路口","Yingge Dist.","Guoji 2nd Guoji 1st Intersection","Guoji 2nd Rd./Guoji 1st Rd., Yingge Dist.","35","1"
"1456","三重高中","34","13","三重區","20180719111824","25.054777","121.491710","集美街217號(對面)","Sanchong Dist.","SanChong Senior High School","No.217, Jimei St., Sanchong Dist.","21","1"
"1457","昌平公園","40","3","新莊區","20180719111835","25.058664","121.458109","中央路/福壽街口","Xinzhuang Dist.","Changping Park","Zhongyang Rd./Fushou St., Xinzhuang Dist.","37","1"
"1458","新北市客家文化園區","38","5","三峽區","20180719111729","24.941729","121.359538","隆恩街239號(右側)","Sanxia Dist.","Hakka Museum New Taipei City Government","No.239, Long’en St., Sanxia Dist.","33","1"
"1459","台北海洋科技大學","38","28","淡水區","20180719111827","25.191229","121.427011","濱海路三段150號(校門左側)","Tamsui Dist.","Taipei University of Marine Technology","No.150, Sec. 3, Binhai Rd., Tamsui Dist.","10","1"
"1461","福和路7巷口","30","11","永和區","20180719111821","25.008540","121.524732","福和路/福和路7巷口","Yonghe Dist.","Ln. 7, Fuhe Rd.","Fuhe Rd./Ln. 7, Fuhe Rd., Yonghe Dist.","19","1"
"1462","捷運新店區公所站(1 號出口)","42","19","新店區","20180719111845","24.967369","121.541011","中華路3號(對面)","Xindian Dist.","MRT Xindian District Office Sta.(Exit.1)","No.3, Zhonghua Rd., Xindian Dist.","23","1"
"1463","新泰游泳池","26","2","新莊區","20180719111819","25.045414","121.442734","新泰路478號(對面)","Xinzhuang Dist.","Xintai Swimming Pool","No.478, Xintai Rd., Xinzhuang Dist.","24","1"
"1464","森林公園","36","9","樹林區","20180719111834","24.948177","121.379760","學勤路382號(對面)","Shulin Dist.","Forest Park","No.382, Xueqin Rd., Shulin Dist.(opposite)","27","1"
"1465","馥華公園","34","19","板橋區","20180719111819","25.006117","121.445449","僑中二街118號前","Banqiao Dist.","Fuhua Park","No.118, Qiaozhong 2nd St., Banqiao Dist.","13","1"
"1466","光復高中","42","27","板橋區","20180719111831","25.017443","121.482513","長壽街/光環路一段(西南側)","Banqiao Dist.","Guang Fu Senior High School","Changshou St., Banqiao Dist./Sec. 1, Guanghuan Rd., Banqiao Dist.","15","1"
"1467","南雅育智路口","46","4","鶯歌區","20180719111819","24.953961","121.345824","南雅路491號(對面)","Yingge Dist.","Nanya & Yuzhi Rd. Intersection","No.491, Nanya Rd., Yingge Dist.(opposite)","41","1"
"1468","穀保家商","38","20","三重區","20180719111831","25.068097","121.471028","疏洪東路三段/中正北路560巷口","Sanchong Dist.","Ku Pao Home Economics & Commercial High School","Sec. 4,Shuhong WRd., Sanchong Dist./Ln. 560, Zhongzheng N. Rd.","18","1"
"1469","文德國小(公館街)","38","1","板橋區","20180719111828","25.021336","121.459595","公館街258號(對面)","Banqiao Dist.","Wende Elementary School(Gongguan St.)","No.258, Gongguan St., Banqiao Dist.(opposite)","37","1"
"1470","學成大成路口","42","4","樹林區","20180719111844","24.946248","121.382719","學成路712號(旁)","Shulin Dist.","Xuecheng & Dacheng Intersection","No.712, Xuecheng Rd., Shulin Dist.","38","1"
"1471","石雕公園","32","10","板橋區","20180719111830","25.030261","121.469469","吳鳳路50巷36號(旁)","Banqiao Dist.","Shidiao Park","Ln. 50, Wufeng Rd., Banqiao Dist.","22","1"
"1472","民生縣民大道口","40","21","板橋區","20180719111817","25.018213","121.471011","民生路二段/縣民大道二段口(西南側)","Banqiao Dist.","Minsheng & Xianmin Intersection","Sec. 2, Minsheng Rd. / Sec. 2, Xianmin Blvd., Banqiao Dist.","18","1"
"1473","新北市藝文中心(文化路二段124巷)","36","24","板橋區","20180719111826","25.025626","121.471401","文化路二段124巷32號(對面)","Banqiao Dist.","New Taipei City Art Center(Ln. 124, Sec. 2, Wenhua Rd.)","No.32, Ln. 124, Sec. 2, Wenhua Rd., Banqiao Dist.","12","1"
"1474","四維公園地下停車場","60","15","板橋區","20180719111819","25.025618","121.463967","四維路177巷3弄6號(旁)","Banqiao Dist.","Siwei Park Parking Lot","No.6, Aly. 3, Ln. 177, Siwei Rd., Banqiao Dist.","44","1"
"1475","廣福派出所","34","0","土城區","20180719111834","24.988019","121.456247","學府路一段86號前","Tucheng Dist.","Guangfu Police Substation","No.86, Sec. 1, Xuefu Rd., Tucheng Dist.","33","1"
"1476","新和活動中心","38","10","新店區","20180719111829","24.986771","121.521829","新和街116巷5弄(街尾)","Xindian Dist.","Xinhe Activity Center","Aly. 5, Ln. 116, Xinhe St., Xindian Dist.","28","1"
"1477","大眾廟","40","11","新莊區","20180719111834","25.037380","121.457660","中正路82號(旁)","Xinzhuang Dist.","Dazhong Temple","No.82, Zhongzheng Rd.,Xinzhuang Dist.","27","1"
"1478","化成公園","32","19","新莊區","20180719111828","25.047860","121.461962","思源路166巷4號(前)","XinZhuang Dist.","Huacheng Park","NO.43.Lin.166 Siyuan Rd. XinZhuang Dist","13","1"
"1479","中悅兒童公園","36","6","三峽區","20180719111830","24.941359","121.370524","國際一街90號(對面)","Sanxia Dist.","Zhongyue Children Park","No.90. Guoji 1st .Sanxia Dist.","30","1"
"1480","新北市工商展覽中心","46","33","五股區","20180719111841","25.064345","121.447585","五工六路35號(對面)","Wugu Dist.","New Taipei City Exhibition Hall","No.35, Wugong 6th Rd., Wugu Dist.","13","1"
"1481","金城裕民路口(中正國中)","44","5","土城區","20180719111824","24.982933","121.456229","金城路二段218號(對面)","Tucheng Dist.","Gincheng & Yumin Intersection(Zhing Zheng Junior High School)","No.218, Sec. 2, Jincheng Rd., Tucheng Dist.","39","1"
"1482","圓通路335巷33弄","32","20","中和區","20180719111819","24.988992","121.493033","圓通路335巷33弄15號(西側)","Zhonghe Dist.","Aly. 33, Ln. 335, Yuantong Rd.","No.15, Aly. 33, Ln. 335, Yuantong Rd., Zhonghe Dist.","11","1"
"1483","海洋公園","36","22","三峽區","20180719111841","24.947490","121.376895","大義路/學勤路口(西北側)","Sanxia Dist.","Ocean Park","Dayi Rd. / Xueqin Rd., Sanxia Dist.","14","1"
