日期,測站,測項,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2017/04/28,南投,PM2.5,12,17,15,12,9,9,12,15,17,18,21,27,34,30,26,24,25,30,28,21,15,14,17,14
2017/04/29,南投,PM2.5,14,16,18,19,18,-9#,24,23,22,33,38,37,37,38,35,30,29,28,24,23,22,26,34,30
2017/04/30,南投,PM2.5,30,30,27,28,29,30,36,37,26,24,26,23,21,23,32,34,29,33,37,47,50,38,38,38
2017/05/01,南投,PM2.5,37,35,29,32,33,30,28,29,25,21,20,17,19,29,28,19,19,23,24,23,21,25,27,23
2017/05/02,南投,PM2.5,28,26,18,25,26,23,27,30,29,29,26,26,28,30,39,36,36,33,35,40,40,44,44,44
2017/05/03,南投,PM2.5,37,35,36,36,34,30,34,34,32,35,,28,34,43,48,48,39,29,29,29,29,32,26,25
2017/05/04,南投,PM2.5,29,32,27,25,32,30,23,23,33,36,34,36,40,40,41,38,28,25,23,23,24,24,24,24
2017/05/05,南投,PM2.5,24,25,26,24,21,22,24,25,26,26,-9#,42,41,41,39,30,25,24,24,23,21,21,21,23
2017/05/06,南投,PM2.5,21,19,22,22,21,22,21,19,19,24,28,32,37,44,43,32,26,29,29,32,37,37,33,34
2017/05/07,南投,PM2.5,40,38,33,37,40,37,32,30,34,35,38,41,37,32,32,29,24,24,24,27,36,40,36,35
2017/05/08,南投,PM2.5,37,38,38,38,34,26,26,26,22,22,19,23,33,38,35,35,41,41,38,37,35,28,26,27
2017/05/09,南投,PM2.5,30,28,26,28,26,22,21,20,20,18,16,-9#,12,11,15,17,14,17,14,13,13,12,14,15
2017/05/10,南投,PM2.5,13,11,9,14,18,15,14,17,19,20,18,17,20,33,44,37,34,32,34,39,35,38,46,42
2017/05/11,南投,PM2.5,42,42,41,39,36,32,36,43,41,40,46,53,51,43,30,23,23,22,24,24,26,27,28,26
2017/05/12,南投,PM2.5,24,25,23,24,24,22,24,28,29,27,27,28,32,32,28,19,12,13,10,9,11,16,16,11
2017/05/13,南投,PM2.5,11,11,13,12,6,6,12,13,11,16,21,19,15,17,23,20,23,25,21,20,22,20,19,18
2017/05/14,南投,PM2.5,16,17,13,12,7,7,10,7,6,6,8,14,14,11,13,19,22,23,20,19,18,19,19,17
2017/05/15,南投,PM2.5,16,18,19,17,15,14,13,17,20,17,18,20,22,27,28,28,26,20,17,18,16,15,16,13
2017/05/16,南投,PM2.5,11,11,10,9,7,10,11,12,21,17,9,7,8,13,14,12,11,10,7,6,7,7,6,8
2017/05/17,南投,PM2.5,12,11,7,7,13,17,17,17,13,14,13,14,19,16,9,9,8,9,13,23,26,16,15,18
2017/05/18,南投,PM2.5,15,13,14,13,15,19,15,14,16,14,18,-9#,38,33,26,22,22,24,24,27,27,27,29,25
2017/05/19,南投,PM2.5,26,26,22,23,26,24,21,22,24,24,24,28,40,42,43,39,24,22,21,20,17,10,9,12
2017/05/20,南投,PM2.5,9,7,8,11,10,4,3,7,8,8,7,7,7,9,10,10,10,13,13,18,20,17,19,23
2017/05/21,南投,PM2.5,24,18,15,16,18,17,16,20,22,17,14,17,19,21,20,16,13,12,14,16,13,14,14,12
2017/05/22,南投,PM2.5,15,13,14,19,17,13,14,21,27,20,22,30,30,29,32,27,14,7,7,14,18,17,17,16
2017/05/23,南投,PM2.5,16,16,18,18,20,19,15,16,16,13,15,15,14,18,18,16,13,12,16,25,25,21,21,19
2017/05/24,南投,PM2.5,21,20,15,13,11,10,11,10,13,16,13,-9#,9,8,7,10,8,9,11,9,9,8,8,7
2017/05/25,南投,PM2.5,8,17,12,3,6,11,12,11,14,18,21,24,29,26,22,16,13,19,21,21,22,20,14,11
2017/05/26,南投,PM2.5,11,14,17,18,18,17,17,16,16,19,21,22,26,32,32,26,23,29,36,32,25,21,21,23
2017/05/27,南投,PM2.5,29,38,36,33,30,30,33,33,37,39,35,32,28,26,25,39,42,33,34,30,24,20,20,13
2017/05/28,南投,PM2.5,14,18,18,18,16,15,18,21,24,29,35,37,41,43,41,47,47,46,45,37,29,24,25,28
2017/05/29,南投,PM2.5,30,35,33,32,32,27,21,20,20,22,33,41,40,40,42,41,39,39,32,32,35,37,38,32
2017/05/30,南投,PM2.5,28,27,27,27,25,24,26,29,25,20,19,17,14,10,12,12,11,11,7,5,5,1,1,1
2017/05/31,南投,PM2.5,1,1,1,6,2,1,1,1,1,6,13,14,15,16,13,11,11,11,8,7,8,10,9,10
2017/06/01,南投,PM2.5,15,13,12,13,13,8,8,9,8,11,10,9,13,11,7,9,8,8,10,9,10,10,12,10
2017/06/02,南投,PM2.5,7,6,6,8,8,7,7,9,10,10,12,13,14,12,13,-9#,6,4,2,3,5,3,1,1
2017/06/03,南投,PM2.5,2,1,1,1,1,1,1,1,5,5,1,1,5,6,,4,9,11,6,2,3,3,1,1
2017/06/04,南投,PM2.5,1,1,1,2,1,2,7,6,5,7,8,4,3,1,1,2,4,5,3,2,1,1,4,6
2017/06/05,南投,PM2.5,3,2,2,1,1,4,7,4,4,8,13,14,16,17,14,14,14,14,14,9,12,14,13,15
